CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES,SIGMA
Lachesis,Jugdral,1470.68,1394.0,1368.0,1270.0,774.0,485.0,477.0,342.0,295.0,264.0,1.03
Edward,Tellius,1470.68,1446.0,1103.0,1138.0,818.0,670.0,836.0,724.0,660.0,172.0,1.0
Flayn,Fodlan,1470.67,,,,3016.0,665.0,655.0,313.0,186.0,157.0,0.99
Titania,Tellius,1470.65,3757.0,1311.0,1611.0,718.0,377.0,512.0,433.0,530.0,381.0,1.04
Lewyn,Jugdral,1470.57,1626.0,3579.0,1533.0,929.0,668.0,542.0,347.0,293.0,256.0,1.05
Sophia,Elibe,1470.5,3150.0,1436.0,1491.0,847.0,568.0,551.0,390.0,380.0,352.0,1.03
Barry,TMS #FE,1470.46,,,,836.0,458.0,730.0,331.0,244.0,211.0,1.09
Tormod,Tellius,1470.41,1015.0,695.0,864.0,618.0,673.0,829.0,696.0,739.0,330.0,0.99
Ayaha/Aversa,TMS #FE,1470.39,,,,922.0,427.0,541.0,294.0,243.0,180.0,1.05
Thrasir,Heroes,1470.31,,,7045.0,1415.0,598.0,462.0,362.0,257.0,141.0,1.09
Eitri,Heroes,1470.15,,,,,,1092.0,335.0,187.0,175.0,0.98
Lucius,Elibe,1470.04,2204.0,1502.0,1047.0,719.0,481.0,495.0,344.0,326.0,292.0,1.08
Mareeta,Jugdral,1469.99,836.0,1043.0,1585.0,627.0,596.0,597.0,417.0,331.0,272.0,1.03
Kaze,Fates,1469.9,4069.0,4021.0,1058.0,588.0,328.0,304.0,314.0,279.0,232.0,0.98
Nifl,Heroes,1469.86,,,,,,586.0,369.0,233.0,223.0,1.04
Dagr,Heroes,1469.83,,,,,,787.0,285.0,249.0,178.0,1.0
Camus,Archanea,1469.82,1829.0,2209.0,2406.0,1061.0,421.0,493.0,302.0,270.0,202.0,1.03
Noire,Ylisse,1469.7,2786.0,2227.0,1138.0,485.0,361.0,429.0,267.0,279.0,151.0,1.0
Mirabilis,Heroes,1469.7,,,,,619.0,391.0,243.0,354.0,203.0,1.05
Nyx,Fates,1469.67,2562.0,2231.0,2613.0,1465.0,1123.0,262.0,191.0,159.0,165.0,1.0
Abysskeeper,Fodlan,1469.55,,,,,753.0,1374.0,292.0,199.0,100.0,0.97
Mitama,Fates,1469.54,1051.0,714.0,857.0,414.0,535.0,901.0,659.0,446.0,348.0,0.99
Ced,Jugdral,1469.49,1422.0,1655.0,2115.0,783.0,461.0,439.0,344.0,232.0,263.0,1.05
Volug,Tellius,1469.48,838.0,839.0,1100.0,684.0,507.0,822.0,576.0,482.0,396.0,0.99
Anankos,Fates,1469.43,1293.0,1325.0,1900.0,781.0,545.0,717.0,542.0,197.0,136.0,1.0
Dwyer,Fates,1469.38,2048.0,1291.0,1881.0,1024.0,847.0,955.0,162.0,133.0,171.0,1.04
Lethe,Tellius,1469.36,2616.0,4186.0,4283.0,584.0,337.0,290.0,207.0,210.0,200.0,1.0
Sombron,Elyos,1469.32,,,,,,,,247.0,194.0,1.04
Hana,Fates,1469.32,3394.0,1413.0,1345.0,646.0,462.0,355.0,270.0,280.0,257.0,1.02
Cyril,Fodlan,1469.29,,,,673.0,551.0,807.0,1150.0,180.0,100.0,0.97
Jaffar,Elibe,1469.14,3921.0,1456.0,1438.0,627.0,384.0,404.0,225.0,212.0,225.0,1.02
Matthew,Elibe,1469.13,3565.0,912.0,914.0,530.0,376.0,421.0,287.0,307.0,493.0,0.97
Rinkah,Fates,1469.03,3142.0,2972.0,4051.0,2159.0,272.0,302.0,265.0,251.0,208.0,1.01
Mozu,Fates,1469.02,1990.0,1226.0,1351.0,694.0,642.0,699.0,545.0,489.0,75.0,0.98
Setsuna,Fates,1469.0,3292.0,1366.0,1178.0,497.0,337.0,398.0,288.0,370.0,273.0,1.0
Lloyd (FE07),Elibe,1468.9,1617.0,768.0,826.0,567.0,484.0,520.0,405.0,558.0,230.0,1.01
Guy,Elibe,1468.85,1889.0,1400.0,1289.0,793.0,646.0,663.0,127.0,103.0,1073.0,0.99
Anna (FE14),Fates,1468.81,5065.0,1953.0,4031.0,880.0,273.0,360.0,264.0,106.0,96.0,1.0
Xane,Archanea,1468.81,1032.0,1291.0,1712.0,1489.0,298.0,399.0,230.0,225.0,404.0,0.97
Elm,Heroes,1468.74,,,,,,484.0,326.0,151.0,220.0,0.98
Éve (Eve),Elyos,1468.53,,,,,,,,257.0,206.0,1.01
Canas,Elibe,1468.51,2450.0,2827.0,831.0,474.0,299.0,352.0,264.0,243.0,216.0,0.99
Wolt,Elibe,1468.5,969.0,654.0,844.0,600.0,496.0,461.0,330.0,364.0,416.0,0.98
Aversa,Ylisse,1468.44,2538.0,5033.0,1998.0,618.0,340.0,333.0,255.0,180.0,133.0,1.02
Shura,Fates,1468.44,1281.0,688.0,874.0,533.0,444.0,489.0,410.0,389.0,341.0,1.02
Selena (FE14),Fates,1468.35,4683.0,1650.0,1462.0,554.0,410.0,399.0,216.0,168.0,180.0,0.95
Sain,Elibe,1468.28,2031.0,1555.0,1280.0,1091.0,816.0,995.0,143.0,134.0,89.0,0.99
Raphael,Fodlan,1468.25,,,,1115.0,483.0,505.0,266.0,210.0,164.0,1.04
Balthus,Fodlan,1468.23,,,,,1147.0,351.0,299.0,204.0,139.0,0.96
Madeline,Elyos,1468.18,,,,,,,,201.0,237.0,1.02
Kliff,Valentia,1468.18,239.0,5995.0,1680.0,811.0,482.0,463.0,288.0,251.0,223.0,0.97
Raven,Elibe,1468.16,2233.0,978.0,972.0,572.0,398.0,352.0,313.0,262.0,307.0,1.0
Velouria,Fates,1468.14,3339.0,4553.0,4773.0,706.0,420.0,292.0,177.0,156.0,165.0,0.98
Effie,Fates,1468.09,1974.0,2392.0,1952.0,694.0,381.0,385.0,226.0,418.0,183.0,1.01
Jakob,Fates,1468.05,4681.0,1082.0,1189.0,595.0,429.0,327.0,204.0,238.0,251.0,0.99
Flora,Fates,1468.01,2939.0,2932.0,1115.0,560.0,343.0,389.0,239.0,248.0,171.0,0.99
Volke,Tellius,1467.97,1632.0,1554.0,1677.0,1079.0,978.0,289.0,146.0,167.0,118.0,1.0
Forrest,Fates,1467.85,2356.0,2194.0,2566.0,1292.0,235.0,330.0,204.0,130.0,149.0,0.98
Mae,Valentia,1467.82,131.0,1534.0,1132.0,555.0,417.0,503.0,399.0,472.0,455.0,0.93
Reina,Fates,1467.72,931.0,1291.0,991.0,550.0,394.0,628.0,492.0,84.0,97.0,0.96
Frederick,Ylisse,1467.71,3913.0,1268.0,1039.0,483.0,370.0,376.0,255.0,240.0,186.0,0.92
Greil,Tellius,1467.52,762.0,1550.0,2258.0,674.0,401.0,401.0,183.0,213.0,162.0,0.97
Caineghis,Tellius,1467.48,961.0,1954.0,3294.0,530.0,239.0,268.0,220.0,257.0,118.0,0.97
Merric,Archanea,1467.48,2493.0,816.0,1159.0,702.0,319.0,372.0,345.0,324.0,176.0,0.98
Sumia,Ylisse,1467.44,2982.0,4593.0,878.0,351.0,187.0,264.0,242.0,352.0,441.0,0.99
Laslow,Fates,1467.3,4287.0,1070.0,777.0,420.0,299.0,360.0,309.0,188.0,175.0,0.99
Kronya,Fodlan,1467.23,,,,684.0,287.0,424.0,275.0,176.0,181.0,1.0
Gustav,Heroes,1467.13,,,,,902.0,483.0,183.0,148.0,123.0,0.98
Jeralt,Fodlan,1466.94,,,,1098.0,723.0,997.0,192.0,102.0,74.0,0.97
Oboro,Fates,1466.9,4783.0,1479.0,1406.0,549.0,366.0,315.0,227.0,210.0,179.0,1.01
Erk,Elibe,1466.83,1951.0,1912.0,2040.0,1445.0,1085.0,229.0,125.0,128.0,122.0,0.96
Ginnungagap,Heroes,1466.83,,,,,,,,264.0,118.0,0.99
Kana (F),Fates,1466.8,2837.0,3199.0,1173.0,451.0,272.0,328.0,252.0,205.0,172.0,0.97
Lambert,Fodlan,1466.78,,,,284.0,277.0,811.0,304.0,237.0,173.0,0.99
Rebecca,Elibe,1466.7,2414.0,679.0,787.0,495.0,280.0,565.0,316.0,181.0,142.0,0.98
Naesala,Tellius,1466.68,1656.0,2075.0,1047.0,581.0,421.0,393.0,238.0,246.0,193.0,1.01
Cornelia,Fodlan,1466.67,,,,1159.0,612.0,794.0,404.0,83.0,74.0,0.93
Gilliam,Magvel,1466.43,1142.0,918.0,848.0,693.0,554.0,607.0,426.0,94.0,65.0,0.94
Reginn,Heroes,1466.42,,,,,802.0,522.0,189.0,121.0,106.0,0.96
Silas,Fates,1466.42,2683.0,2032.0,837.0,344.0,311.0,373.0,232.0,213.0,164.0,0.95
Alois,Fodlan,1466.34,,,,564.0,369.0,360.0,210.0,196.0,175.0,1.01
Vander,Elyos,1466.23,,,,,,,,215.0,158.0,0.98
Lukas,Valentia,1466.21,146.0,2414.0,1623.0,732.0,500.0,530.0,335.0,230.0,213.0,0.98
Nah,Ylisse,1466.21,2003.0,2116.0,2909.0,381.0,233.0,263.0,238.0,186.0,131.0,1.01
Nemesis,Fodlan,1466.17,,,,1427.0,299.0,356.0,175.0,139.0,153.0,0.94
Monica (Hopes),Fodlan,1466.16,,,,,,,,293.0,117.0,0.95
Sonya,Valentia,1466.14,167.0,1706.0,1286.0,676.0,352.0,451.0,194.0,174.0,185.0,0.96
Shanna,Elibe,1466.13,1609.0,1200.0,944.0,503.0,380.0,365.0,235.0,261.0,205.0,1.0
Nils,Elibe,1466.09,730.0,3021.0,3140.0,2336.0,196.0,209.0,138.0,104.0,121.0,0.94
Morgan (M),Ylisse,1466.01,2216.0,2533.0,896.0,462.0,271.0,265.0,200.0,177.0,354.0,0.97
Deirdre,Jugdral,1465.91,492.0,916.0,1013.0,624.0,365.0,488.0,329.0,275.0,276.0,0.97
Jeorge,Archanea,1465.89,1214.0,965.0,904.0,586.0,374.0,380.0,236.0,232.0,183.0,0.96
Njörðr (Njordr),Heroes,1465.88,,,,,,,,187.0,153.0,0.98
Python,Valentia,1465.85,86.0,2354.0,2630.0,398.0,312.0,362.0,250.0,216.0,259.0,0.91
Þjazi (Thjazi),Heroes,1465.84,,,,,,,,,160.0,1.0
Kaden,Fates,1465.73,3836.0,4763.0,3817.0,466.0,210.0,228.0,123.0,112.0,130.0,0.9
Gordin,Archanea,1465.73,982.0,640.0,697.0,422.0,380.0,364.0,229.0,252.0,236.0,0.97
Genny,Valentia,1465.69,135.0,2482.0,1731.0,560.0,406.0,444.0,257.0,223.0,198.0,0.94
Læraðr (Laeradr),Heroes,1465.67,,,,,,,,,144.0,0.96
Maribelle,Ylisse,1465.65,3701.0,4662.0,770.0,302.0,197.0,244.0,174.0,150.0,172.0,0.94
Panne,Ylisse,1465.62,3061.0,4930.0,4774.0,403.0,210.0,274.0,173.0,118.0,89.0,0.94
Letizia,Heroes,1465.6,,,,,,1066.0,178.0,122.0,118.0,0.96
Michalis,Archanea,1465.59,610.0,1140.0,992.0,489.0,354.0,413.0,243.0,192.0,144.0,0.95
Vaike,Ylisse,1465.58,1096.0,668.0,771.0,470.0,388.0,507.0,405.0,495.0,61.0,0.95
Judith,Fodlan,1465.51,,,,313.0,242.0,340.0,243.0,172.0,129.0,0.96
Lehran,Tellius,1465.49,,,,,282.0,389.0,238.0,153.0,137.0,1.0
Subaki,Fates,1465.42,1768.0,839.0,764.0,410.0,354.0,369.0,181.0,164.0,171.0,1.02
Kris (F),Archanea,1465.34,373.0,600.0,1034.0,688.0,294.0,257.0,190.0,199.0,289.0,0.95
Patty,Jugdral,1465.27,448.0,536.0,749.0,757.0,527.0,593.0,519.0,100.0,106.0,0.95
Cormag,Magvel,1465.23,1308.0,2433.0,2943.0,285.0,202.0,267.0,234.0,201.0,185.0,0.98
Nailah,Tellius,1465.15,1206.0,2086.0,1368.0,446.0,172.0,341.0,148.0,188.0,91.0,0.97
Stahl,Ylisse,1465.14,2611.0,686.0,666.0,384.0,360.0,294.0,211.0,208.0,200.0,0.97
Freyr,Heroes,1465.07,,,,963.0,551.0,385.0,281.0,91.0,60.0,0.93
Clarisse,Archanea,1465.06,335.0,502.0,603.0,388.0,418.0,421.0,254.0,281.0,265.0,0.95
Kellam,Ylisse,1464.99,2129.0,1003.0,1014.0,489.0,328.0,446.0,397.0,80.0,112.0,0.94
Pelleas,Tellius,1464.97,608.0,698.0,846.0,965.0,948.0,336.0,110.0,162.0,150.0,0.93
Marni,Elyos,1464.93,,,,,,,,187.0,143.0,0.96
Reyson,Tellius,1464.86,982.0,2415.0,865.0,427.0,213.0,243.0,141.0,177.0,162.0,0.94
Meg,Tellius,1464.85,516.0,767.0,420.0,340.0,219.0,491.0,270.0,293.0,233.0,0.95
Clair,Valentia,1464.81,124.0,1270.0,1222.0,508.0,293.0,375.0,292.0,257.0,295.0,0.95
Ymir (Heroes),Heroes,1464.77,,,,,,,301.0,212.0,83.0,0.93
Franz,Magvel,1464.68,615.0,430.0,496.0,467.0,367.0,502.0,402.0,323.0,380.0,0.94
Seadall,Elyos,1464.65,,,,,,,,218.0,136.0,0.97
Arden,Jugdral,1464.64,3094.0,510.0,584.0,361.0,266.0,271.0,183.0,184.0,143.0,0.99
Peony,Heroes,1464.53,,,,855.0,264.0,266.0,190.0,187.0,114.0,0.95
Zihark,Tellius,1464.5,1552.0,792.0,1024.0,717.0,189.0,206.0,132.0,174.0,172.0,0.96
Sephiran,Tellius,1464.39,447.0,812.0,1135.0,1409.0,274.0,221.0,139.0,190.0,138.0,0.94
Knoll,Magvel,1464.38,997.0,1894.0,1346.0,983.0,176.0,189.0,133.0,148.0,92.0,0.95
Ursula,Elibe,1464.28,1534.0,952.0,728.0,395.0,277.0,239.0,202.0,165.0,137.0,0.95
Leanne,Tellius,1464.28,1437.0,2931.0,1368.0,403.0,199.0,255.0,145.0,144.0,114.0,0.91
Limstella,Elibe,1464.23,690.0,928.0,1180.0,803.0,725.0,756.0,151.0,88.0,69.0,0.95
Shannan,Jugdral,1464.16,531.0,852.0,1824.0,403.0,256.0,227.0,158.0,146.0,174.0,0.93
Julius,Jugdral,1464.05,349.0,963.0,504.0,472.0,318.0,359.0,235.0,222.0,205.0,0.92
Conrad,Valentia,1463.95,,2369.0,3152.0,418.0,174.0,208.0,156.0,141.0,87.0,0.94
Serra,Elibe,1463.93,2203.0,750.0,715.0,428.0,345.0,250.0,202.0,244.0,236.0,0.96
Saizo,Fates,1463.91,2221.0,560.0,654.0,330.0,362.0,367.0,294.0,166.0,139.0,0.93
Ares,Jugdral,1463.85,564.0,705.0,742.0,426.0,301.0,315.0,269.0,199.0,178.0,0.96
Kieran,Tellius,1463.81,677.0,444.0,508.0,341.0,336.0,341.0,236.0,296.0,314.0,0.93
Aran,Tellius,1463.76,648.0,499.0,427.0,315.0,285.0,320.0,247.0,222.0,260.0,0.95
Dieck,Elibe,1463.65,1176.0,980.0,1231.0,1071.0,227.0,305.0,194.0,145.0,72.0,0.94
Skrimir,Tellius,1463.63,244.0,435.0,790.0,376.0,279.0,386.0,435.0,234.0,179.0,0.93
Marcia,Tellius,1463.56,1352.0,748.0,860.0,571.0,649.0,184.0,124.0,112.0,113.0,0.95
Zephiel (FE06),Elibe,1463.52,808.0,704.0,711.0,393.0,257.0,258.0,180.0,164.0,130.0,0.95
Janaff,Tellius,1463.51,486.0,467.0,548.0,330.0,336.0,355.0,274.0,263.0,286.0,0.98
Tine,Jugdral,1463.45,490.0,448.0,757.0,825.0,625.0,677.0,112.0,121.0,95.0,0.91
Innes,Magvel,1463.44,1499.0,794.0,851.0,415.0,213.0,325.0,183.0,194.0,149.0,0.95
Rath,Elibe,1463.39,1544.0,2370.0,3091.0,1204.0,143.0,136.0,84.0,81.0,90.0,0.9
Libra,Ylisse,1463.17,1668.0,1434.0,526.0,352.0,241.0,215.0,161.0,135.0,116.0,0.93
Zephia,Elyos,1463.15,,,,,,,,158.0,107.0,0.95
Catherine,Fodlan,1463.11,,,,1232.0,200.0,225.0,128.0,120.0,90.0,0.92
Anna (FE01/11),Archanea,1463.1,1422.0,890.0,2007.0,650.0,169.0,219.0,119.0,73.0,92.0,0.94
Erinys,Jugdral,1463.09,545.0,443.0,1015.0,977.0,646.0,224.0,137.0,142.0,106.0,0.93
Lilith,Fates,1463.08,2279.0,2773.0,3495.0,1489.0,206.0,192.0,128.0,100.0,82.0,0.95
Vanessa,Magvel,1463.05,784.0,580.0,700.0,589.0,443.0,618.0,508.0,79.0,79.0,0.92
Garcia,Magvel,1463.04,1093.0,287.0,301.0,242.0,262.0,402.0,258.0,356.0,286.0,0.93
Caeldori,Fates,1462.94,3149.0,1832.0,1560.0,472.0,283.0,344.0,103.0,71.0,41.0,0.9
Oifey,Jugdral,1462.84,165.0,113.0,279.0,252.0,272.0,314.0,258.0,256.0,319.0,0.9
Arthur (FE04),Jugdral,1462.82,707.0,483.0,747.0,682.0,566.0,524.0,93.0,105.0,108.0,0.94
Helbindi,Heroes,1462.82,,,1257.0,460.0,219.0,201.0,196.0,165.0,79.0,0.94
Sophie,Fates,1462.81,913.0,600.0,619.0,471.0,230.0,266.0,216.0,133.0,156.0,0.97
Gerik,Magvel,1462.8,1489.0,1274.0,1889.0,251.0,128.0,175.0,130.0,109.0,113.0,0.92
Lugh,Elibe,1462.8,1119.0,1038.0,1131.0,273.0,155.0,185.0,93.0,130.0,152.0,0.94
Odin,Fates,1462.75,3256.0,764.0,623.0,260.0,214.0,193.0,154.0,139.0,106.0,0.92
Ross,Magvel,1462.72,2234.0,2205.0,2014.0,286.0,115.0,194.0,105.0,127.0,93.0,0.92
Selena (FE08),Magvel,1462.7,619.0,1236.0,3412.0,4469.0,145.0,170.0,106.0,92.0,85.0,0.93
Ismaire,Magvel,1462.67,308.0,468.0,542.0,306.0,282.0,429.0,234.0,234.0,243.0,0.93
Izana,Fates,1462.64,790.0,498.0,670.0,294.0,232.0,314.0,214.0,159.0,122.0,0.93
Silque,Valentia,1462.63,169.0,1720.0,2513.0,316.0,197.0,211.0,106.0,118.0,108.0,0.91
Quan,Jugdral,1462.62,823.0,2239.0,605.0,339.0,197.0,191.0,131.0,108.0,102.0,0.9
Nyna,Archanea,1462.61,446.0,1114.0,1428.0,792.0,417.0,712.0,98.0,77.0,67.0,0.92
Pent,Elibe,1462.6,1331.0,2239.0,2619.0,579.0,377.0,143.0,106.0,91.0,77.0,0.9
Emmeryn,Ylisse,1462.5,1325.0,1713.0,2419.0,1117.0,120.0,126.0,94.0,96.0,82.0,0.9
Neimi,Magvel,1462.46,999.0,763.0,781.0,511.0,390.0,137.0,89.0,83.0,165.0,0.95
Orochi,Fates,1462.45,1617.0,1516.0,1896.0,788.0,654.0,174.0,112.0,113.0,66.0,0.92
Priam,Ylisse,1462.43,1556.0,1214.0,1704.0,835.0,611.0,131.0,84.0,83.0,70.0,0.93
Altena,Jugdral,1462.4,294.0,744.0,1928.0,222.0,181.0,209.0,162.0,131.0,166.0,0.93
Muarim,Tellius,1462.34,574.0,633.0,754.0,489.0,380.0,405.0,107.0,108.0,76.0,0.95
Karla,Elibe,1462.27,653.0,884.0,644.0,279.0,227.0,300.0,142.0,169.0,151.0,0.93
Múspell (Muspell),Heroes,1462.27,,,,,,215.0,183.0,116.0,92.0,0.93
Wolf,Archanea,1462.26,906.0,924.0,973.0,610.0,453.0,164.0,146.0,95.0,158.0,0.92
Kurthnaga,Tellius,1462.25,346.0,731.0,928.0,715.0,425.0,181.0,93.0,124.0,106.0,0.94
Tatiana,Valentia,1462.24,59.0,1245.0,1555.0,983.0,772.0,195.0,138.0,79.0,80.0,0.9
Heather,Tellius,1462.21,599.0,534.0,703.0,426.0,306.0,511.0,376.0,100.0,65.0,0.94
Fiora,Elibe,1462.15,1246.0,883.0,1092.0,389.0,207.0,220.0,141.0,124.0,128.0,0.91
Gonzalez,Elibe,1462.14,767.0,857.0,667.0,519.0,529.0,571.0,85.0,52.0,64.0,0.95
Cecilia,Elibe,1462.12,1029.0,825.0,560.0,295.0,224.0,270.0,153.0,147.0,148.0,0.95
Nergal,Elibe,1462.04,262.0,430.0,591.0,435.0,327.0,351.0,295.0,255.0,39.0,0.93
Kiragi,Fates,1462.03,881.0,733.0,729.0,413.0,374.0,495.0,50.0,95.0,62.0,0.91
Rhys,Tellius,1462.01,734.0,459.0,575.0,462.0,210.0,220.0,151.0,130.0,136.0,0.94
Miklan,Fodlan,1462.0,,,,266.0,204.0,200.0,184.0,168.0,167.0,0.94
Artur,Magvel,1461.96,712.0,710.0,735.0,603.0,428.0,184.0,164.0,93.0,96.0,0.94
Luthier,Valentia,1461.93,104.0,1106.0,1506.0,1121.0,1233.0,141.0,116.0,106.0,94.0,0.89
Olwen,Jugdral,1461.93,885.0,898.0,576.0,339.0,213.0,227.0,184.0,230.0,205.0,0.91
Igrene,Elibe,1461.93,322.0,296.0,436.0,208.0,223.0,437.0,380.0,322.0,141.0,0.92
Azelle,Jugdral,1461.91,542.0,483.0,895.0,771.0,621.0,142.0,116.0,94.0,93.0,0.94
Gregor,Ylisse,1461.8,1456.0,968.0,976.0,529.0,496.0,632.0,65.0,50.0,49.0,0.89
Layla,Fates,1461.8,1090.0,637.0,637.0,400.0,159.0,237.0,138.0,126.0,108.0,0.91
Vika,Tellius,1461.77,681.0,799.0,1007.0,593.0,458.0,157.0,88.0,94.0,99.0,0.9
Naga,Ylisse,1461.76,1150.0,1965.0,3454.0,396.0,147.0,128.0,127.0,91.0,84.0,0.92
Bunet,Elyos,1461.75,,,,,,,,158.0,99.0,0.96
Linoan,Jugdral,1461.74,223.0,241.0,367.0,306.0,279.0,287.0,257.0,323.0,245.0,0.89
Ricken,Ylisse,1461.7,1235.0,982.0,1020.0,507.0,408.0,491.0,92.0,54.0,38.0,0.93
Tailtiu,Jugdral,1461.7,703.0,432.0,605.0,337.0,188.0,247.0,218.0,125.0,150.0,0.92
Midori,Fates,1461.68,1333.0,874.0,1061.0,610.0,160.0,138.0,124.0,76.0,92.0,0.93
Etzel,Archanea,1461.66,666.0,461.0,434.0,297.0,245.0,261.0,216.0,175.0,214.0,0.95
Astrid,Tellius,1461.62,1018.0,1445.0,1441.0,735.0,595.0,135.0,109.0,82.0,53.0,0.93
Uther,Elibe,1461.58,,,,,328.0,257.0,185.0,214.0,30.0,0.9
Marcus (FE07),Elibe,1461.57,414.0,424.0,415.0,278.0,194.0,262.0,160.0,111.0,136.0,0.94
Monica (FE16),Fodlan,1461.57,,,,348.0,224.0,307.0,1053.0,39.0,42.0,0.9
Brom,Tellius,1461.54,486.0,300.0,319.0,212.0,205.0,253.0,197.0,328.0,181.0,0.92
Narcian,Elibe,1461.51,1060.0,648.0,512.0,345.0,196.0,337.0,149.0,131.0,109.0,0.93
Valter,Magvel,1461.5,619.0,547.0,608.0,332.0,199.0,277.0,165.0,122.0,83.0,0.96
Kana (M),Fates,1461.5,1380.0,2284.0,510.0,237.0,138.0,167.0,130.0,120.0,87.0,0.92
Mila,Valentia,1461.46,,1953.0,2670.0,1741.0,167.0,180.0,91.0,65.0,50.0,0.9
Hanneman,Fodlan,1461.44,,,,249.0,182.0,270.0,209.0,161.0,140.0,0.93
Cynthia,Ylisse,1461.44,2069.0,1240.0,1556.0,263.0,143.0,144.0,115.0,123.0,123.0,0.93
Kent,Elibe,1461.42,991.0,627.0,594.0,457.0,427.0,565.0,84.0,92.0,76.0,0.94
Hel,Heroes,1461.34,,,3964.0,1287.0,193.0,192.0,108.0,69.0,83.0,0.9
Wil,Elibe,1461.34,1007.0,565.0,476.0,365.0,372.0,428.0,320.0,62.0,58.0,0.92
Ashunera,Tellius,1461.34,221.0,363.0,467.0,282.0,236.0,300.0,159.0,163.0,123.0,0.92
Oswin,Elibe,1461.33,598.0,530.0,548.0,390.0,240.0,322.0,220.0,205.0,29.0,0.93
Ashnard,Tellius,1461.31,465.0,983.0,1336.0,1027.0,130.0,105.0,84.0,77.0,74.0,0.91
Scáthach (Ulster),Jugdral,1461.31,430.0,248.0,361.0,491.0,394.0,477.0,97.0,108.0,93.0,0.91
Ullr,Jugdral,1461.3,,,,,,,,,99.0,0.94
